10006,CS 111 - 01,helproom/peer tutoring
10011,CHEM 120 - L01,SI
10012,ECON 101 - 01,writing tutor
10025,CHEM 211 - L01,none
10026,CS 240 - L01,none
10033,ECON 102 - 02,none
10036,CS 110 - D02,none
10041,CS 110 - 01,none
10042,CS 111 - 02,none
10046,ECON 202 - 01,none
10049,CHEM 211 - L05,none
10050,CHEM 211 - L02,none
10053,CHEM 211 - L04,none
10062,CS 230 - 01,none
10063,CHEM 120 - 01,none
10074,CS 110 - D03,none
10083,ECON 102 - 01,none
10087,CHEM 211 - 01,none
10088,ECON 101 - 02,none
10102,CS 110 - D01,none
10103,ECON 201 - 02,none
10106,CHEM 211 - L03,none
10108,CHEM 120 - L02,none
10111,ECON 202 - 02,none
10114,CHEM 211 - 02,none
10143,EDUC 300 - 01,none
10154,CHIN 301 - 01,none
10266,CS 110 - 02,none
10415,CHEM 211 - L06,none
10508,CS 111 - L01,SI
10509,CS 111 - L02,SI
10510,CS 111 - L03,SI
10512,CHIN 101 - 01,SI
10513,CHIN 101 - 02,SI
10514,CHIN 201 - 01,SI
10515,CHIN 201 - 02,SI
10520,CHIN 203 - 01,SI
10527,CHIN 306 - 01,SI
10611,CHEM 361 - 01,SI
10627,CS 110 - D04,helproom/peer tutoring
10704,EDUC 215 - 01,helproom/peer tutoring
10788,CS 230 - L01,helproom/peer tutoring
10789,CS 230 - L02,helproom/peer tutoring
10859,CS 235 - 01,helproom/peer tutoring
10878,CS 240 - L02,helproom/peer tutoring
10947,ECON 101 - 04,helproom/peer tutoring
11003,CHEM 105 - 01,helproom/peer tutoring
11004,CHEM 105 - 02,helproom/peer tutoring
11005,CHEM 105 - 03,helproom/peer tutoring
11006,CHEM 105 - L01,helproom/peer tutoring
11007,CHEM 105 - L02,helproom/peer tutoring
11008,CHEM 105 - L03,helproom/peer tutoring
11009,CHEM 105 - L04,helproom/peer tutoring
11010,CHEM 105 - L05,helproom/peer tutoring
11011,EDUC 310 - 01,helproom/peer tutoring
11126,CHEM 205 - 01,helproom/peer tutoring
11127,CHEM 205 - L01,helproom/peer tutoring
11128,CHEM 205 - L02,helproom/peer tutoring
11129,CHEM 212 - 01,helproom/peer tutoring
11131,CHEM 212 - L02,helproom/peer tutoring
11132,CHEM 212 - L03,writing tutor
11133,CHEM 222 - 01,writing tutor
11134,CHEM 222 - L01,writing tutor
11135,CHEM 222 - L02,writing tutor
11138,ECON 103 - 1LA,writing tutor
11139,ECON 103 - 1LB,writing tutor
11140,ECON 103 - 2LA,writing tutor
11141,ECON 103 - 2LB,writing tutor
11144,ECON 203 - 01,writing tutor
11165,ECON 201 - 01,writing tutor
11257,EDUC 304 - 01,writing tutor
11258,CHEM 205 - 02,writing tutor
11259,CHEM 205 - L03,writing tutor
11260,CHEM 205 - L04,writing tutor
11262,ECON 203 - 02,writing tutor
11268,CHEM 105 - L06,writing tutor
11312,ECON 103 - 02,writing tutor
11316,CHEM 211 - 03,writing tutor
11333,CHIN 203 - 02,writing tutor
11344,EDUC 314 - 01,writing tutor
11368,ECON 380 - 01,writing tutor
11397,EDUC 216 - 01,writing tutor
11406,CHIN 103 - 01,writing tutor
11622,CHIN 103 - 02,writing tutor
11794,EDUC 212 - 01,writing tutor
11980,CHEM 105P - 01,SI
11988,ECON 203 - 03,SI
11996,ECON 334 - 01,SI
12005,CHEM 105P - L01,SI
12067,CHEM 306 - 01,SI
12068,CHEM 222 - L03,SI
12085,CS 215 - 01,SI
12086,CS 111 - L04,SI
12183,ECON 214 - 01,SI
12186,ECON 103 - 01,SI
12204,CHIN 209 - 01,SI
12222,CHEM 330 - 01,SI
12228,CHEM 320 - 01,SI
12241,CHEM 330 - L01,SI
12242,CHEM 330 - L02,SI
12253,ECON 102 - 03,SI
12290,CHEM 330 - L03,SI
12299,CS 230 - L03,SI
12669,CPLT 180 - 01,SI
12670,CS 307 - 01,SI
12671,CS 320 - 01,SI
12759,CHEM 212 - 02,SI
12760,CHEM 212 - L04,SI
